=== Processing Volume Level ===
Vocab size for volume: 9980
Training classifier for class 0
Training classifier for class 1
Training classifier for class 2
Training classifier for class 3
Training classifier for class 4
Training classifier for class 5
Training classifier for class 6
Training classifier for class 7
Training classifier for class 8
Training classifier for class 9
Training classifier for class 10
Training classifier for class 11
Training classifier for class 12
Training classifier for class 13
Training classifier for class 14
Training classifier for class 15
Training classifier for class 16
Training classifier for class 17
Training classifier for class 18
Training classifier for class 19
Training classifier for class 20
Training classifier for class 21
Training classifier for class 22
Training classifier for class 23
Training classifier for class 24
Training classifier for class 25
Training classifier for class 26
Training classifier for class 27
Training classifier for class 28
Training classifier for class 29
Training classifier for class 30
Training classifier for class 31
Training classifier for class 32
Training classifier for class 33
Training classifier for class 34
Training classifier for class 35
Training classifier for class 36
Training classifier for class 37
Training classifier for class 38
Training classifier for class 39
Training classifier for class 40
Training classifier for class 41
Training classifier for class 42
Training classifier for class 43
Training classifier for class 44
Training classifier for class 45
Training classifier for class 46

Final Metrics for XGBoost (from Scratch):

==== Metrics for XGBoost (Scratch) on TRAINING data ====
Accuracy = 0.4996
Model Evaluation Metrics (TRAINING data):
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.5936       | 0.6506       | 0.6208       |
| Class 1      | 0.699        | 0.4311       | 0.5333       |
| Class 2      | 0.8797       | 0.4562       | 0.6008       |
| Class 3      | 0.6165       | 0.4258       | 0.5037       |
| Class 4      | 0.3901       | 0.3323       | 0.3589       |
| Class 5      | 0.1783       | 0.827        | 0.2934       |
| Class 6      | 0.566        | 0.694        | 0.6235       |
| Class 7      | 0.6346       | 0.4769       | 0.5446       |
| Class 8      | 0.7752       | 0.582        | 0.6648       |
| Class 9      | 0.8337       | 0.5551       | 0.6665       |
| Class 10     | 0.6697       | 0.5174       | 0.5837       |
| Class 11     | 0.3883       | 0.3618       | 0.3746       |
| Class 12     | 0.7826       | 0.3253       | 0.4596       |
| Class 13     | 0.5337       | 0.3415       | 0.4165       |
| Class 14     | 0.5          | 0.2339       | 0.3187       |
| Class 15     | 0.5576       | 0.5323       | 0.5447       |
| Class 16     | 0.6025       | 0.4428       | 0.5105       |
| Class 17     | 0.7423       | 0.6812       | 0.7104       |
| Class 18     | 0.6098       | 0.3646       | 0.4563       |
| Class 19     | 0.6424       | 0.6614       | 0.6518       |
| Class 20     | 0.5669       | 0.3653       | 0.4443       |
| Class 21     | 0.6483       | 0.5072       | 0.5691       |
| Class 22     | 0.8051       | 0.4884       | 0.608        |
| Class 23     | 0.3921       | 0.2514       | 0.3064       |
| Class 24     | 0.7047       | 0.7073       | 0.706        |
| Class 25     | 0.2804       | 0.2542       | 0.2667       |
| Class 26     | 0.8774       | 0.5887       | 0.7046       |
| Class 27     | 0.712        | 0.5538       | 0.623        |
| Class 28     | 0.6478       | 0.6567       | 0.6522       |
